,date_received_date,date_received_heure,queue_name,agent_number,answered_date,answered_heure,consult_date,consult_heure,transfer,hangup_heure
84331,2014-09-20,09:01:38,30175,9690.0,2014-09-20,09:01:39,,,,09:06:03
84332,2014-09-20,09:02:13,30179,9426.0,2014-09-20,09:02:14,,,,09:03:59
84333,2014-09-20,09:02:26,30179,9514.0,2014-09-20,09:02:27,,,,09:06:57
84334,2014-09-20,09:03:45,30172,9689.0,2014-09-20,09:03:46,,,,09:06:07
84335,2014-09-20,09:04:05,30172,9427.0,2014-09-20,09:04:06,,,,09:09:35
84336,2014-09-20,09:06:57,30172,6949.0,2014-09-20,09:06:58,,,,09:12:20
84337,2014-09-20,09:07:55,30175,9828.0,2014-09-20,09:07:56,2014-09-20,09:08:38,2014-09-20 09:08:57,09:10:04
84338,2014-09-20,09:08:14,30175,9426.0,2014-09-20,09:08:15,,,,09:09:01
84339,2014-09-20,09:08:15,30175,8486.0,2014-09-20,09:08:16,,,,09:08:40
84340,2014-09-20,09:08:30,30172,9690.0,2014-09-20,09:08:31,,,,09:15:16
84341,2014-09-20,09:08:34,30172,9689.0,2014-09-20,09:08:35,,,,09:10:52
84342,2014-09-20,09:08:39,30172,9514.0,2014-09-20,09:08:40,,,,09:10:04
84343,2014-09-20,09:09:23,30172,8486.0,2014-09-20,09:09:24,,,,09:09:39
84344,2014-09-20,09:09:33,30175,9828.0,2014-09-20,09:09:34,,,,09:12:45
84345,2014-09-20,09:10:26,30172,9426.0,2014-09-20,09:10:27,,,,09:12:57
84346,2014-09-20,09:10:28,30172,8486.0,2014-09-20,09:10:29,,,,09:10:43
84347,2014-09-20,09:11:53,30172,9514.0,2014-09-20,09:11:54,,,,09:12:44
84348,2014-09-20,09:12:48,30172,8486.0,2014-09-20,09:12:49,,,,09:15:39
84349,2014-09-20,09:13:09,30066,6949.0,2014-09-20,09:13:10,,,,09:24:36
84350,2014-09-20,09:14:19,30179,9689.0,2014-09-20,09:14:20,,,,09:14:27
84351,2014-09-20,09:14:34,30172,9514.0,2014-09-20,09:14:35,,,,09:15:33
84352,2014-09-20,09:14:57,30172,9426.0,2014-09-20,09:14:57,,,,09:22:39
84353,2014-09-20,09:15:14,30179,9828.0,2014-09-20,09:15:15,2014-09-20,09:15:41,2014-09-20 09:16:10,09:23:57
84354,2014-09-20,09:15:41,30172,9689.0,2014-09-20,09:15:42,,,,09:23:57
