,date_received_date,date_received_heure,queue_name,agent_number,answered_date,answered_heure,consult_date,consult_heure,transfer,hangup_heure
25911,2014-07-05,09:01:52,30560,6971.0,2014-07-05,09:01:53,,,,09:12:06
25912,2014-07-05,09:01:52,30175,7039.0,2014-07-05,09:01:53,,,,09:05:43
25913,2014-07-05,09:02:14,30172,8730.0,2014-07-05,09:02:14,,,,09:04:01
25914,2014-07-05,09:02:33,30172,7923.0,2014-07-05,09:02:34,,,,09:05:48
25915,2014-07-05,09:02:51,30172,8486.0,2014-07-05,09:02:52,,,,09:08:27
25916,2014-07-05,09:03:04,30560,9422.0,2014-07-05,09:03:05,,,,09:05:51
25917,2014-07-05,09:03:41,30175,8730.0,2014-07-05,09:04:03,,,,09:07:25
25918,2014-07-05,09:04:28,30560,7039.0,2014-07-05,09:05:45,,,,09:11:02
25919,2014-07-05,09:04:41,30560,7923.0,2014-07-05,09:05:50,,,,09:11:23
25920,2014-07-05,09:05:31,30175,,,,,,,09:07:22
25921,2014-07-05,09:06:16,30175,8730.0,2014-07-05,09:07:27,,,,09:20:26
25922,2014-07-05,09:06:52,30175,8486.0,,,,,,09:08:27
25923,2014-07-05,09:07:09,30172,8486.0,2014-07-05,09:08:29,,,,09:10:44
25924,2014-07-05,09:07:22,30175,9422.0,2014-07-05,09:10:36,,,,09:15:28
25925,2014-07-05,09:07:27,30172,8486.0,2014-07-05,09:10:50,,,,09:12:39
25926,2014-07-05,09:08:43,30172,,,,,,,09:11:06
25927,2014-07-05,09:08:52,30172,7039.0,2014-07-05,09:11:16,,,,09:19:50
25928,2014-07-05,09:09:48,30175,7923.0,2014-07-05,09:11:29,2014-07-05,09:15:00,2014-07-05 09:15:34,09:19:57
25929,2014-07-05,09:10:14,30172,,,,,,,09:10:25
25930,2014-07-05,09:11:28,30179,6971.0,2014-07-05,09:12:09,,,,09:14:26
25931,2014-07-05,09:12:57,30560,8486.0,2014-07-05,09:12:58,,,,09:15:43
25932,2014-07-05,09:15:18,30560,6971.0,2014-07-05,09:15:19,,,,09:21:14
25933,2014-07-05,09:16:14,30175,9422.0,2014-07-05,09:16:15,,,,09:19:11
25934,2014-07-05,09:16:20,30172,7923.0,2014-07-05,09:16:21,,,,09:17:51
25935,2014-07-05,09:16:32,30172,8486.0,2014-07-05,09:16:33,,,,09:18:50
25936,2014-07-05,09:16:50,30172,7923.0,2014-07-05,09:17:53,,,,09:19:33
25937,2014-07-05,09:17:22,30172,8486.0,2014-07-05,09:18:56,,,,09:22:08
25938,2014-07-05,09:17:52,30175,9422.0,2014-07-05,09:19:17,,,,09:22:49
25939,2014-07-05,09:18:02,30172,7923.0,2014-07-05,09:19:39,,,,09:23:16
25940,2014-07-05,09:18:07,30175,7039.0,2014-07-05,09:19:52,,,,09:22:25
25941,2014-07-05,09:23:31,30363,8730.0,2014-07-05,09:23:32,,,,09:25:13
25942,2014-07-05,09:23:48,30172,6971.0,2014-07-05,09:23:49,,,,09:26:58
25943,2014-07-05,09:23:52,30172,8486.0,2014-07-05,09:23:53,,,,09:25:22
25944,2014-07-05,09:24:35,30172,7039.0,2014-07-05,09:24:36,,,,09:30:29
25945,2014-07-05,09:24:44,30172,9422.0,2014-07-05,09:24:45,,,,09:27:03
25946,2014-07-05,09:25:09,30066,7923.0,2014-07-05,09:25:10,,,,09:26:57
25947,2014-07-05,09:25:11,30172,8730.0,2014-07-05,09:25:15,,,,09:26:36
25948,2014-07-05,09:26:25,30175,8486.0,2014-07-05,09:26:26,,,,09:28:26
25949,2014-07-05,09:29:33,30179,8730.0,2014-07-05,09:29:34,,,,09:29:46
25950,2014-07-05,09:29:37,30175,7923.0,2014-07-05,09:29:38,,,,09:33:30
25951,2014-07-05,09:30:09,30175,6971.0,2014-07-05,09:30:10,,,,09:31:39
25952,2014-07-05,09:32:38,30175,9422.0,2014-07-05,09:32:39,,,,09:36:36
25953,2014-07-05,09:34:00,30172,8486.0,2014-07-05,09:34:01,,,,09:38:36
25954,2014-07-05,09:34:32,30172,8730.0,2014-07-05,09:34:33,,,,09:43:52
25955,2014-07-05,09:35:31,30172,7039.0,2014-07-05,09:35:32,,,,09:40:24
25956,2014-07-05,09:36:53,30560,6971.0,2014-07-05,09:36:54,,,,09:42:12
25957,2014-07-05,09:37:19,30175,9422.0,2014-07-05,09:37:20,,,,09:39:58
25958,2014-07-05,09:37:54,30175,7923.0,2014-07-05,09:37:55,,,,09:40:03
25959,2014-07-05,09:38:58,30175,8486.0,2014-07-05,09:38:59,,,,09:40:16
25960,2014-07-05,09:39:08,30172,9422.0,2014-07-05,09:40:03,,,,09:41:31
25961,2014-07-05,09:41:17,30179,7923.0,2014-07-05,09:41:18,,,,09:42:47
25962,2014-07-05,09:42:09,30175,8486.0,2014-07-05,09:42:10,,,,09:43:13
25963,2014-07-05,09:42:53,30175,7039.0,2014-07-05,09:42:54,,,,09:44:35
25964,2014-07-05,09:42:54,30172,9422.0,2014-07-05,09:42:55,,,,09:53:56
25965,2014-07-05,09:43:00,30172,7923.0,2014-07-05,09:43:01,,,,09:47:57
25966,2014-07-05,09:43:34,30179,8486.0,2014-07-05,09:43:35,,,,09:46:27
25967,2014-07-05,09:43:43,30172,8730.0,2014-07-05,09:43:55,,,,09:46:16
25968,2014-07-05,09:43:44,30175,7039.0,2014-07-05,09:44:38,,,,09:49:37
25969,2014-07-05,09:46:57,30363,8730.0,2014-07-05,09:46:57,2014-07-05,09:51:52,2014-07-05 09:53:10,09:54:58
25970,2014-07-05,09:48:02,30172,8486.0,2014-07-05,09:48:03,,,,09:49:27
25971,2014-07-05,09:49:34,30172,6971.0,2014-07-05,09:49:35,,,,09:50:50
25972,2014-07-05,09:50:17,30560,7923.0,2014-07-05,09:50:18,,,,09:51:42
25973,2014-07-05,09:51:07,30560,8486.0,2014-07-05,09:51:08,,,,09:54:38
25974,2014-07-05,09:51:36,30175,7039.0,2014-07-05,09:51:37,,,,09:53:30
25975,2014-07-05,09:51:52,30172,6971.0,2014-07-05,09:51:53,,,,09:52:59
25976,2014-07-05,09:52:37,30179,7923.0,2014-07-05,09:52:38,,,,09:53:58
25977,2014-07-05,09:52:42,30172,6971.0,2014-07-05,09:53:05,,,,09:54:57
25978,2014-07-05,09:53:45,30175,8730.0,2014-07-05,09:53:46,,,,09:53:48
25979,2014-07-05,09:54:29,30560,7039.0,2014-07-05,09:54:30,,,,09:57:05
