,date_received_date,date_received_heure,queue_name,agent_number,answered_date,answered_heure,consult_date,consult_heure,transfer,hangup_heure
120162,2014-05-27,08:00:32,30560,6989.0,2014-05-27,08:00:33,,,,08:08:37
120163,2014-05-27,08:00:40,30560,6947.0,2014-05-27,08:00:41,,,,08:03:48
120164,2014-05-27,08:01:12,30175,9695.0,2014-05-27,08:01:13,,,,08:05:00
120165,2014-05-27,08:01:19,30172,8076.0,2014-05-27,08:01:20,,,,08:03:38
120166,2014-05-27,08:01:20,30560,6922.0,2014-05-27,08:01:21,,,,08:03:23
120167,2014-05-27,08:01:24,30560,6935.0,2014-05-27,08:01:25,,,,08:06:47
120168,2014-05-27,08:01:28,30175,9694.0,2014-05-27,08:01:29,,,,08:03:48
120169,2014-05-27,08:02:12,30175,1038.0,2014-05-27,08:02:13,,,,08:06:19
120170,2014-05-27,08:03:24,30175,1041.0,2014-05-27,08:03:25,,,,08:24:07
120171,2014-05-27,08:03:35,30560,8189.0,2014-05-27,08:03:36,,,,08:10:00
120172,2014-05-27,08:03:47,30560,6944.0,2014-05-27,08:03:48,,,,08:08:34
120173,2014-05-27,08:04:35,30179,1039.0,2014-05-27,08:04:36,,,,08:04:42
120174,2014-05-27,08:04:55,30560,8861.0,2014-05-27,08:04:56,,,,08:06:09
120175,2014-05-27,08:05:43,30175,9826.0,2014-05-27,08:05:43,,,,08:08:04
120176,2014-05-27,08:06:01,30175,6922.0,2014-05-27,08:06:02,,,,08:08:35
120177,2014-05-27,08:06:06,30560,7531.0,2014-05-27,08:06:07,,,,08:08:11
120178,2014-05-27,08:06:51,30172,8076.0,2014-05-27,08:06:52,,,,08:13:45
120179,2014-05-27,08:06:58,30179,6947.0,2014-05-27,08:06:59,,,,08:12:46
120180,2014-05-27,08:07:00,30175,9694.0,2014-05-27,08:07:01,,,,08:13:14
120181,2014-05-27,08:07:03,30560,8861.0,2014-05-27,08:07:04,,,,08:07:08
120182,2014-05-27,08:07:12,30175,9695.0,2014-05-27,08:07:13,,,,08:13:36
120183,2014-05-27,08:07:13,30175,1039.0,2014-05-27,08:07:14,,,,08:12:20
120184,2014-05-27,08:07:18,30560,6935.0,2014-05-27,08:07:19,,,,08:12:09
120185,2014-05-27,08:07:19,30560,8861.0,2014-05-27,08:07:20,,,,08:14:50
120186,2014-05-27,08:08:03,30172,7531.0,2014-05-27,08:08:13,,,,08:13:47
120187,2014-05-27,08:08:03,30560,6944.0,2014-05-27,08:08:39,,,,08:13:56
120188,2014-05-27,08:08:07,30172,6922.0,2014-05-27,08:08:41,,,,08:13:26
120189,2014-05-27,08:08:16,30560,6989.0,2014-05-27,08:08:42,,,,08:13:51
120190,2014-05-27,08:08:34,30175,9825.0,2014-05-27,08:08:35,,,,08:16:30
120191,2014-05-27,08:08:53,30172,8189.0,2014-05-27,08:10:10,,,,08:14:23
120192,2014-05-27,08:09:25,30560,6935.0,2014-05-27,08:12:14,,,,08:15:27
120193,2014-05-27,08:09:32,30560,6947.0,2014-05-27,08:12:51,,,,08:17:39
120194,2014-05-27,08:09:47,30560,,,,,,,08:13:02
120195,2014-05-27,08:10:21,30560,6922.0,2014-05-27,08:13:32,,,,08:17:04
120196,2014-05-27,08:10:28,30175,1038.0,2014-05-27,08:10:29,2014-05-27,08:11:38,2014-05-27 08:12:10,08:15:46
120197,2014-05-27,08:11:09,30175,9826.0,2014-05-27,08:11:10,,,,08:16:41
120198,2014-05-27,08:11:49,30560,,,,,,,08:13:44
120199,2014-05-27,08:11:52,30560,8076.0,2014-05-27,08:13:47,,,,08:16:51
120200,2014-05-27,08:11:53,30179,1038.0,2014-05-27,08:12:15,,,,08:17:18
120201,2014-05-27,08:11:55,30175,1039.0,2014-05-27,08:12:26,,,,08:18:27
120202,2014-05-27,08:11:56,30560,7531.0,2014-05-27,08:13:54,2014-05-27,08:14:37,2014-05-27 08:15:05,08:16:29
120203,2014-05-27,08:11:59,30172,6989.0,2014-05-27,08:13:53,,,,08:16:04
120204,2014-05-27,08:12:33,30560,6944.0,2014-05-27,08:14:02,2014-05-27,08:16:25,2014-05-27 08:17:40,08:18:45
120205,2014-05-27,08:12:41,30175,9694.0,2014-05-27,08:13:19,,,,08:14:59
120206,2014-05-27,08:12:42,30175,9695.0,2014-05-27,08:13:41,2014-05-27,08:14:58,,08:16:02
120207,2014-05-27,08:13:14,30172,8189.0,2014-05-27,08:14:24,,,,08:16:47
120208,2014-05-27,08:13:25,30560,8861.0,2014-05-27,08:15:00,,,,08:15:38
120209,2014-05-27,08:14:10,30560,7531.0,2014-05-27,08:15:08,,,,08:22:49
120210,2014-05-27,08:14:19,30560,,,,,,,08:14:54
120211,2014-05-27,08:14:30,30179,9694.0,2014-05-27,08:15:05,,,,08:15:43
120212,2014-05-27,08:14:45,30175,6935.0,2014-05-27,08:15:33,,,,08:17:44
120213,2014-05-27,08:14:59,30175,9694.0,2014-05-27,08:15:49,,,,08:23:40
120214,2014-05-27,08:15:00,30560,,,,,,,08:15:29
120215,2014-05-27,08:15:08,30175,9695.0,2014-05-27,08:16:07,,,,08:17:34
120216,2014-05-27,08:15:13,30175,6989.0,2014-05-27,08:16:10,,,,08:22:27
120217,2014-05-27,08:15:16,30560,8076.0,2014-05-27,08:16:54,,,,08:21:08
120218,2014-05-27,08:16:33,30560,8189.0,2014-05-27,08:16:56,,,,08:18:40
120219,2014-05-27,08:16:35,30175,9825.0,2014-05-27,08:16:35,,,,08:19:18
120220,2014-05-27,08:16:51,30560,6922.0,2014-05-27,08:17:10,,,,08:19:07
120221,2014-05-27,08:17:18,30172,,,,,,,08:17:23
120222,2014-05-27,08:17:42,30175,9826.0,2014-05-27,08:17:43,2014-05-27,08:18:45,2014-05-27 08:19:22,08:22:33
120223,2014-05-27,08:17:43,30560,6947.0,2014-05-27,08:17:44,,,,08:21:59
