,date_received_date,date_received_heure,queue_name,agent_number,answered_date,answered_heure,consult_date,consult_heure,transfer,hangup_heure
124689,2014-06-26,08:00:34,30560,9113.0,2014-06-26,08:00:35,,,,08:04:58
124690,2014-06-26,08:00:51,30560,8077.0,2014-06-26,08:00:52,,,,08:16:04
124691,2014-06-26,08:00:56,30172,8514.0,2014-06-26,08:00:57,,,,08:01:52
124692,2014-06-26,08:01:03,30560,7531.0,2014-06-26,08:02:08,,,,08:02:33
124693,2014-06-26,08:01:13,30560,6971.0,2014-06-26,08:02:08,,,,08:02:24
124694,2014-06-26,08:01:19,30175,1039.0,2014-06-26,08:01:20,2014-06-26,08:02:03,,08:03:18
124695,2014-06-26,08:01:20,30175,9819.0,2014-06-26,08:01:21,,,,08:03:58
124696,2014-06-26,08:01:22,30560,7531.0,2014-06-26,08:02:35,,,,08:02:53
124697,2014-06-26,08:02:06,30560,6971.0,2014-06-26,08:02:42,,,,08:02:43
124698,2014-06-26,08:02:09,30560,7531.0,2014-06-26,08:02:55,,,,08:09:41
124699,2014-06-26,08:02:52,30560,8514.0,2014-06-26,08:02:58,,,,08:03:13
124700,2014-06-26,08:02:54,30560,6971.0,2014-06-26,08:03:17,,,,08:06:24
124701,2014-06-26,08:02:55,30172,8514.0,2014-06-26,08:03:54,,,,08:05:16
124702,2014-06-26,08:03:02,30066,1038.0,2014-06-26,08:03:03,,,,08:13:39
124703,2014-06-26,08:03:23,30560,9113.0,2014-06-26,08:04:59,,,,08:07:34
124704,2014-06-26,08:03:25,30560,8514.0,2014-06-26,08:05:43,2014-06-26,08:07:01,2014-06-26 08:07:53,08:14:36
124705,2014-06-26,08:03:29,30560,6971.0,2014-06-26,08:06:30,,,,08:08:13
124706,2014-06-26,08:03:56,30560,9113.0,2014-06-26,08:07:36,2014-06-26,08:09:37,2014-06-26 08:10:04,08:12:00
124707,2014-06-26,08:04:08,30560,8514.0,2014-06-26,08:07:59,,,,08:12:16
124708,2014-06-26,08:04:15,30560,6971.0,2014-06-26,08:08:18,,,,08:10:42
124709,2014-06-26,08:04:25,30560,,,,,,,08:09:20
124710,2014-06-26,08:04:28,30560,,,,,,,08:04:41
124711,2014-06-26,08:04:30,30172,7531.0,2014-06-26,08:09:45,,,,08:16:55
124712,2014-06-26,08:04:32,30560,9113.0,2014-06-26,08:10:06,,,,08:12:29
124713,2014-06-26,08:05:39,30175,1040.0,2014-06-26,08:05:40,,,,08:12:36
124714,2014-06-26,08:05:43,30175,1039.0,2014-06-26,08:05:44,,,,08:08:14
124715,2014-06-26,08:05:56,30172,,,,,,,08:07:29
124716,2014-06-26,08:06:16,30172,6971.0,2014-06-26,08:10:48,,,,08:16:27
