,date_received_date,date_received_heure,queue_name,agent_number,answered_date,answered_heure,consult_date,consult_heure,transfer,hangup_heure
7203,2014-12-02,08:01:37,30560,6989.0,2014-12-02,08:01:38,,,,08:04:53
7204,2014-12-02,08:01:44,30175,1044.0,2014-12-02,08:01:45,,,,08:02:38
7205,2014-12-02,08:02:01,30175,8076.0,2014-12-02,08:02:02,,,,08:05:56
7206,2014-12-02,08:03:17,30175,6922.0,2014-12-02,08:03:18,,,,08:10:59
7207,2014-12-02,08:04:21,30747,1407.0,2014-12-02,08:04:22,2014-12-02,08:05:01,2014-12-02 08:05:17,08:07:21
7208,2014-12-02,08:04:25,30172,8189.0,2014-12-02,08:04:26,2014-12-02,08:06:25,,08:08:11
7209,2014-12-02,08:04:26,30172,8374.0,2014-12-02,08:04:27,,,,08:05:51
7210,2014-12-02,08:05:20,30179,1102.0,2014-12-02,08:05:21,,,,08:06:20
7211,2014-12-02,08:06:49,30066,1538.0,2014-12-02,08:06:50,,,,08:06:55
7212,2014-12-02,08:07:06,30175,1398.0,2014-12-02,08:07:07,2014-12-02,08:08:01,2014-12-02 08:08:36,08:08:37
7213,2014-12-02,08:07:17,30066,6943.0,2014-12-02,08:07:18,,,,08:11:54
7214,2014-12-02,08:07:27,30175,1045.0,2014-12-02,08:07:28,,,,08:10:01
7215,2014-12-02,08:08:02,30560,9342.0,2014-12-02,08:08:03,,,,08:08:37
7216,2014-12-02,08:08:13,30560,6944.0,2014-12-02,08:08:14,,,,08:09:52
7217,2014-12-02,08:08:17,30560,1044.0,2014-12-02,08:08:18,,,,08:08:39
7218,2014-12-02,08:08:39,30172,9510.0,2014-12-02,08:08:40,,,,08:12:58
7219,2014-12-02,08:09:03,30175,6989.0,2014-12-02,08:09:04,,,,08:12:28
7220,2014-12-02,08:09:07,30747,1407.0,2014-12-02,08:09:08,2014-12-02,08:09:52,2014-12-02 08:10:10,08:11:45
7221,2014-12-02,08:09:39,30179,8076.0,2014-12-02,08:09:40,2014-12-02,08:11:09,2014-12-02 08:11:40,08:12:51
7222,2014-12-02,08:10:41,30172,8374.0,2014-12-02,08:10:42,,,,08:11:49
7223,2014-12-02,08:11:26,30175,1102.0,2014-12-02,08:11:27,,,,08:14:31
7224,2014-12-02,08:11:47,30175,8189.0,2014-12-02,08:11:48,,,,08:12:52
7225,2014-12-02,08:11:56,30175,1398.0,2014-12-02,08:11:57,2014-12-02,08:12:21,2014-12-02 08:12:44,08:14:36
7226,2014-12-02,08:11:59,30172,6944.0,2014-12-02,08:12:00,,,,08:14:36
7227,2014-12-02,08:12:10,30175,9342.0,2014-12-02,08:12:11,2014-12-02,08:17:50,2014-12-02 08:18:36,08:23:09
7228,2014-12-02,08:12:24,30172,1045.0,2014-12-02,08:12:25,,,,08:14:36
7229,2014-12-02,08:12:56,30172,6922.0,2014-12-02,08:12:57,,,,08:15:11
7230,2014-12-02,08:12:58,30175,1044.0,2014-12-02,08:12:59,2014-12-02,08:14:34,2014-12-02 08:15:23,08:17:00
7231,2014-12-02,08:14:11,30560,8076.0,2014-12-02,08:14:12,,,,08:16:34
7232,2014-12-02,08:14:33,30560,6943.0,2014-12-02,08:14:34,,,,08:17:47
7233,2014-12-02,08:14:34,30172,8374.0,2014-12-02,08:14:35,,,,08:17:00
7234,2014-12-02,08:15:56,30172,6989.0,2014-12-02,08:15:57,,,,08:18:13
7235,2014-12-02,08:16:16,30172,8189.0,2014-12-02,08:16:17,,,,08:20:54
7236,2014-12-02,08:16:27,30172,9510.0,2014-12-02,08:16:28,,,,08:20:09
7237,2014-12-02,08:17:51,30172,1045.0,2014-12-02,08:17:52,,,,08:23:09
7238,2014-12-02,08:17:57,30175,1407.0,2014-12-02,08:17:58,,,,08:21:49
7239,2014-12-02,08:18:43,30175,1398.0,2014-12-02,08:18:44,,,,08:19:47
7240,2014-12-02,08:18:44,30747,1398.0,2014-12-02,08:19:49,2014-12-02,08:20:12,2014-12-02 08:20:29,08:20:51
7241,2014-12-02,08:19:21,30560,1102.0,2014-12-02,08:19:22,,,,08:22:45
7242,2014-12-02,08:20:17,30172,6944.0,2014-12-02,08:20:18,,,,08:22:33
7243,2014-12-02,08:20:21,30175,6922.0,2014-12-02,08:20:22,,,,08:24:00
7244,2014-12-02,08:21:59,30175,1044.0,2014-12-02,08:22:00,,,,08:26:02
7245,2014-12-02,08:22:37,30175,8076.0,2014-12-02,08:22:38,,,,08:26:03
7246,2014-12-02,08:23:02,30066,8374.0,2014-12-02,08:23:03,,,,08:26:23
7247,2014-12-02,08:23:34,30560,6943.0,2014-12-02,08:23:35,,,,08:29:41
7248,2014-12-02,08:23:48,30175,6989.0,2014-12-02,08:23:49,,,,08:27:11
7249,2014-12-02,08:24:21,30172,9510.0,2014-12-02,08:24:22,,,,08:28:09
7250,2014-12-02,08:25:32,30560,9342.0,2014-12-02,08:25:33,,,,08:30:28
7251,2014-12-02,08:27:04,30175,1538.0,2014-12-02,08:27:04,,,,08:28:29
7252,2014-12-02,08:27:09,30066,8189.0,2014-12-02,08:27:10,,,,08:27:38
7253,2014-12-02,08:28:03,30175,1398.0,2014-12-02,08:28:04,2014-12-02,08:28:45,2014-12-02 08:29:11,08:30:59
7254,2014-12-02,08:28:06,30066,6944.0,2014-12-02,08:28:07,,,,08:28:14
7255,2014-12-02,08:28:23,30560,1102.0,2014-12-02,08:28:24,,,,08:32:38
7256,2014-12-02,08:28:23,30172,1045.0,2014-12-02,08:28:24,,,,08:30:25
7257,2014-12-02,08:28:46,30560,6922.0,2014-12-02,08:28:47,,,,08:30:59
7258,2014-12-02,08:28:53,30179,1407.0,2014-12-02,08:28:54,,,2014-12-02 08:30:57,08:32:07
7259,2014-12-02,08:30:19,30175,1044.0,2014-12-02,08:30:20,2014-12-02,08:33:58,,08:34:11
7260,2014-12-02,08:30:55,30172,8076.0,2014-12-02,08:30:56,,,,08:35:07
7261,2014-12-02,08:31:16,30172,8374.0,2014-12-02,08:31:17,,,,08:34:16
7262,2014-12-02,08:31:37,30172,6989.0,2014-12-02,08:31:38,,,,08:36:21
7263,2014-12-02,08:32:21,30172,8189.0,2014-12-02,08:32:22,,,,08:36:37
7264,2014-12-02,08:32:55,30175,1567.0,2014-12-02,08:32:56,,,,08:34:49
7265,2014-12-02,08:33:28,30172,9510.0,2014-12-02,08:33:29,,,,08:45:30
7266,2014-12-02,08:34:09,30172,6933.0,2014-12-02,08:34:10,,,,08:37:43
7267,2014-12-02,08:35:04,30172,6943.0,2014-12-02,08:35:05,,,,08:38:33
7268,2014-12-02,08:35:14,30175,1538.0,2014-12-02,08:35:15,,,,08:52:24
7269,2014-12-02,08:35:27,30175,1398.0,2014-12-02,08:35:28,,,,08:37:08
7270,2014-12-02,08:36:16,30560,1240.0,2014-12-02,08:36:17,,,,08:37:25
7271,2014-12-02,08:36:33,30179,1541.0,2014-12-02,08:36:34,,,,08:40:32
7272,2014-12-02,08:37:13,30747,1043.0,2014-12-02,08:37:14,2014-12-02,08:39:52,2014-12-02 08:40:18,08:41:48
7273,2014-12-02,08:37:35,30518,1239.0,2014-12-02,08:37:36,,,,08:37:43
7274,2014-12-02,08:38:11,30175,1402.0,2014-12-02,08:38:12,,,,08:41:49
7275,2014-12-02,08:38:18,30560,1109.0,2014-12-02,08:38:19,2014-12-02,08:40:08,,08:42:09
7276,2014-12-02,08:38:19,30175,1540.0,2014-12-02,08:38:20,,,,08:38:50
7277,2014-12-02,08:38:24,30560,1045.0,2014-12-02,08:38:25,2014-12-02,08:39:43,,08:40:14
7278,2014-12-02,08:38:28,30175,1536.0,2014-12-02,08:38:29,,,,08:41:44
7279,2014-12-02,08:39:17,30747,1242.0,2014-12-02,08:39:18,,,,08:40:03
7280,2014-12-02,08:39:31,30175,9342.0,2014-12-02,08:39:31,,,,08:39:53
7281,2014-12-02,08:39:39,30179,1407.0,2014-12-02,08:39:40,2014-12-02,08:41:28,2014-12-02 08:42:01,08:44:57
7282,2014-12-02,08:40:05,30747,9820.0,2014-12-02,08:40:06,2014-12-02,08:41:16,2014-12-02 08:41:48,08:46:10
7283,2014-12-02,08:40:34,30175,6922.0,2014-12-02,08:40:35,,,,08:45:43
7284,2014-12-02,08:40:41,30175,9110.0,2014-12-02,08:40:42,,,,08:43:05
7285,2014-12-02,08:40:47,30175,1102.0,2014-12-02,08:40:48,,,,08:43:12
7286,2014-12-02,08:41:18,30172,8374.0,2014-12-02,08:41:19,,,,08:41:25
7287,2014-12-02,08:41:30,30172,8076.0,2014-12-02,08:41:31,,,,08:44:57
7288,2014-12-02,08:41:34,30175,1044.0,2014-12-02,08:41:35,,,,08:43:16
7289,2014-12-02,08:42:08,30172,6989.0,2014-12-02,08:42:09,,,,08:45:14
7290,2014-12-02,08:42:20,30747,1398.0,2014-12-02,08:42:21,,,,08:42:24
7291,2014-12-02,08:42:50,30172,8189.0,2014-12-02,08:42:51,,,,08:50:25
7292,2014-12-02,08:43:12,30066,1567.0,2014-12-02,08:43:13,,,,08:59:01
