,date_received_date,date_received_heure,queue_name,agent_number,answered_date,answered_heure,consult_date,consult_heure,transfer,hangup_heure
6696,2014-07-02,08:00:57,30560,6947.0,2014-07-02,08:00:58,2014-07-02,08:03:19,2014-07-02 08:04:56,08:07:43
6697,2014-07-02,08:01:10,30560,8076.0,2014-07-02,08:01:11,,,,08:08:43
6698,2014-07-02,08:01:22,30172,7923.0,2014-07-02,08:01:23,,,,08:04:28
6699,2014-07-02,08:01:23,30560,9113.0,2014-07-02,08:01:24,,,,08:05:16
6700,2014-07-02,08:01:53,30560,6922.0,2014-07-02,08:01:54,,,,08:03:00
6701,2014-07-02,08:02:00,30172,8189.0,2014-07-02,08:02:01,,,,08:04:21
6702,2014-07-02,08:02:23,30066,9694.0,2014-07-02,08:02:24,,,,08:04:18
6703,2014-07-02,08:02:30,30560,6940.0,2014-07-02,08:02:30,,,,08:05:48
6704,2014-07-02,08:02:35,30172,8861.0,2014-07-02,08:02:36,,,,08:05:11
6705,2014-07-02,08:03:46,30175,1108.0,2014-07-02,08:03:47,,,,08:08:15
6706,2014-07-02,08:04:30,30066,9819.0,2014-07-02,08:04:31,,,,08:07:51
6707,2014-07-02,08:04:31,30172,6949.0,2014-07-02,08:04:32,,,,08:07:14
6708,2014-07-02,08:04:53,30560,6944.0,2014-07-02,08:04:54,,,,08:08:25
6709,2014-07-02,08:05:01,30560,6922.0,2014-07-02,08:05:02,,,,08:07:28
6710,2014-07-02,08:05:17,30175,1103.0,2014-07-02,08:05:18,2014-07-02,08:06:46,2014-07-02 08:07:23,08:15:34
6711,2014-07-02,08:05:28,30511,8189.0,2014-07-02,08:05:29,,,,08:09:19
6712,2014-07-02,08:05:38,30172,7923.0,2014-07-02,08:05:39,,,,08:06:45
6713,2014-07-02,08:05:49,30560,9341.0,2014-07-02,08:05:49,2014-07-02,08:07:55,2014-07-02 08:08:17,08:10:21
6714,2014-07-02,08:06:00,30172,6947.0,2014-07-02,08:06:00,,,,08:14:43
6715,2014-07-02,08:06:22,30172,8861.0,2014-07-02,08:06:23,,,,08:06:27
6716,2014-07-02,08:06:33,30175,1102.0,2014-07-02,08:06:33,,,,08:09:51
