,date_received_date,date_received_heure,queue_name,agent_number,answered_date,answered_heure,consult_date,consult_heure,transfer,hangup_heure
113338,2014-09-29,08:00:43,30172,6989.0,2014-09-29,08:00:44,,,,08:06:12
113339,2014-09-29,08:01:02,30066,6947.0,2014-09-29,08:01:03,,,,08:05:58
113340,2014-09-29,08:01:07,30175,6944.0,2014-09-29,08:01:08,,,,08:03:06
113341,2014-09-29,08:01:44,30560,6940.0,2014-09-29,08:01:44,,,,08:02:31
113342,2014-09-29,08:01:45,30560,6922.0,2014-09-29,08:01:46,,,,08:04:19
113343,2014-09-29,08:01:52,30175,1407.0,2014-09-29,08:01:53,,,,08:02:53
113344,2014-09-29,08:01:56,30175,1041.0,2014-09-29,08:01:57,,,,08:03:45
113345,2014-09-29,08:02:36,30175,8076.0,2014-09-29,08:02:37,,,,08:04:12
113346,2014-09-29,08:02:47,30175,6930.0,2014-09-29,08:02:48,,,,08:03:31
113347,2014-09-29,08:02:50,30560,9110.0,2014-09-29,08:02:51,,,,08:06:04
113348,2014-09-29,08:02:55,30179,1241.0,2014-09-29,08:02:56,,,,08:04:04
113349,2014-09-29,08:03:26,30560,7923.0,2014-09-29,08:03:27,,,,08:11:18
113350,2014-09-29,08:03:38,30560,6943.0,2014-09-29,08:03:39,,,,08:10:29
113351,2014-09-29,08:03:48,30560,6933.0,2014-09-29,08:03:49,2014-09-29,08:06:04,2014-09-29 08:07:00,08:08:33
113352,2014-09-29,08:04:03,30066,1102.0,2014-09-29,08:04:04,,,,08:05:48
113353,2014-09-29,08:04:13,30175,1398.0,2014-09-29,08:04:14,,,,08:11:54
113354,2014-09-29,08:04:30,30172,8189.0,2014-09-29,08:04:31,,,,08:07:01
113355,2014-09-29,08:05:46,30560,1039.0,2014-09-29,08:05:46,,,,08:06:23
113356,2014-09-29,08:05:59,30175,1107.0,2014-09-29,08:06:00,,,,08:08:39
113357,2014-09-29,08:06:10,30560,9109.0,2014-09-29,08:06:11,,,,08:07:45
113358,2014-09-29,08:06:22,30560,9427.0,2014-09-29,08:06:23,,,,08:09:51
113359,2014-09-29,08:06:33,30175,9687.0,2014-09-29,08:06:34,,,,08:12:32
113360,2014-09-29,08:06:35,30560,9423.0,2014-09-29,08:06:36,,,,08:07:02
113361,2014-09-29,08:06:47,30175,9821.0,2014-09-29,08:06:48,,,,08:12:58
113362,2014-09-29,08:06:56,30175,1245.0,2014-09-29,08:06:57,2014-09-29,08:07:43,2014-09-29 08:08:02,08:10:21
113363,2014-09-29,08:07:05,30172,6940.0,2014-09-29,08:07:06,,,,08:12:45
113364,2014-09-29,08:07:13,30172,6944.0,2014-09-29,08:07:14,,,,08:10:33
113365,2014-09-29,08:07:17,30560,6930.0,2014-09-29,08:07:18,,,,08:12:07
113366,2014-09-29,08:07:19,30175,1407.0,2014-09-29,08:07:20,2014-09-29,08:10:27,2014-09-29 08:11:02,08:12:40
113367,2014-09-29,08:07:21,30175,1041.0,2014-09-29,08:07:22,,,,08:10:22
113368,2014-09-29,08:07:23,30560,8076.0,2014-09-29,08:07:24,,,,08:14:31
113369,2014-09-29,08:07:44,30172,6922.0,2014-09-29,08:07:45,,,,08:09:31
113370,2014-09-29,08:07:44,30560,8720.0,2014-09-29,08:07:45,2014-09-29,08:10:02,2014-09-29 08:10:20,08:10:21
113371,2014-09-29,08:07:51,30560,8373.0,2014-09-29,08:07:52,,,,08:11:58
113372,2014-09-29,08:08:58,30560,6947.0,2014-09-29,08:08:59,,,,08:13:21
113373,2014-09-29,08:09:11,30560,9110.0,2014-09-29,08:09:12,,,,08:13:26
113374,2014-09-29,08:09:18,30179,1241.0,2014-09-29,08:09:19,2014-09-29,08:10:21,2014-09-29 08:10:46,08:18:50
113375,2014-09-29,08:09:19,30066,1102.0,2014-09-29,08:09:19,,,,08:15:51
113376,2014-09-29,08:10:16,30175,6989.0,2014-09-29,08:10:17,,,,08:15:11
113377,2014-09-29,08:10:27,30066,8189.0,2014-09-29,08:10:28,,,,08:11:50
113378,2014-09-29,08:10:28,30172,6933.0,2014-09-29,08:10:29,,,,08:12:40
113379,2014-09-29,08:10:32,30172,9423.0,2014-09-29,08:10:33,,,,08:18:50
113380,2014-09-29,08:11:36,30560,1049.0,2014-09-29,08:11:37,,,,08:18:59
113381,2014-09-29,08:11:40,30066,1039.0,2014-09-29,08:11:41,2014-09-29,08:13:03,2014-09-29 08:13:54,08:14:43
113382,2014-09-29,08:11:56,30560,9109.0,2014-09-29,08:11:57,,,,08:15:47
113383,2014-09-29,08:12:10,30175,1245.0,2014-09-29,08:12:11,,,,08:15:16
113384,2014-09-29,08:12:13,30560,6922.0,2014-09-29,08:12:14,,,,08:16:33
113385,2014-09-29,08:12:24,30175,1107.0,2014-09-29,08:12:25,,,,08:12:55
113386,2014-09-29,08:12:28,30560,9427.0,2014-09-29,08:12:29,,,,08:18:56
113387,2014-09-29,08:12:57,30560,1041.0,2014-09-29,08:12:58,,,,08:16:18
113388,2014-09-29,08:13:21,30175,6943.0,2014-09-29,08:13:22,2014-09-29,08:18:20,2014-09-29 08:18:55,08:23:47
113389,2014-09-29,08:13:43,30560,6944.0,2014-09-29,08:13:44,,,,08:17:02
113390,2014-09-29,08:14:07,30172,8720.0,2014-09-29,08:14:08,,,,08:15:11
113391,2014-09-29,08:14:14,30175,1241.0,2014-09-29,08:14:15,2014-09-29,08:14:49,2014-09-29 08:15:05,08:16:40
113392,2014-09-29,08:14:20,30560,7923.0,2014-09-29,08:14:21,,,,08:19:05
113393,2014-09-29,08:14:51,30560,8189.0,2014-09-29,08:14:52,,,,08:16:40
113394,2014-09-29,08:14:56,30172,8373.0,2014-09-29,08:14:57,,,,08:18:58
113395,2014-09-29,08:15:40,30560,6930.0,2014-09-29,08:15:41,,,,08:17:31
113396,2014-09-29,08:16:57,30179,1407.0,2014-09-29,08:16:58,,,,08:19:16
113397,2014-09-29,08:17:03,30175,1398.0,2014-09-29,08:17:04,,,,08:22:25
113398,2014-09-29,08:17:18,30172,9687.0,2014-09-29,08:17:19,,,,08:24:54
113399,2014-09-29,08:17:38,30172,6933.0,2014-09-29,08:17:39,,,,08:20:38
113400,2014-09-29,08:17:46,30560,6940.0,2014-09-29,08:17:47,,,,08:20:38
113401,2014-09-29,08:18:01,30066,1107.0,2014-09-29,08:18:02,,,,08:20:09
113402,2014-09-29,08:18:19,30560,6947.0,2014-09-29,08:18:20,,,,08:19:39
113403,2014-09-29,08:18:42,30560,9110.0,2014-09-29,08:18:43,,,,08:22:04
113404,2014-09-29,08:18:59,30172,1039.0,2014-09-29,08:19:00,,,,08:21:29
113405,2014-09-29,08:19:09,30175,9821.0,2014-09-29,08:19:10,2014-09-29,08:19:36,2014-09-29 08:19:55,08:22:53
113406,2014-09-29,08:19:37,30560,8076.0,2014-09-29,08:19:38,,,,08:22:53
113407,2014-09-29,08:19:45,30175,1241.0,2014-09-29,08:19:46,,,,08:24:43
113408,2014-09-29,08:19:54,30175,6989.0,2014-09-29,08:19:55,,,,08:21:52
113409,2014-09-29,08:20:55,30560,8720.0,2014-09-29,08:20:56,,,,08:23:18
113410,2014-09-29,08:21:49,30175,1245.0,2014-09-29,08:21:50,,,,08:22:57
113411,2014-09-29,08:22:07,30172,9109.0,2014-09-29,08:22:08,,,,08:26:27
113412,2014-09-29,08:22:19,30560,1041.0,2014-09-29,08:22:20,,,,08:28:39
113413,2014-09-29,08:22:30,30560,6922.0,2014-09-29,08:22:31,,,,08:26:40
113414,2014-09-29,08:22:32,30172,8189.0,2014-09-29,08:22:33,,,,08:25:27
113415,2014-09-29,08:22:54,30175,1102.0,2014-09-29,08:22:55,,,,08:24:19
113416,2014-09-29,08:23:49,30172,6944.0,2014-09-29,08:23:50,,,,08:28:52
113417,2014-09-29,08:23:51,30175,6930.0,2014-09-29,08:23:52,,,,08:24:52
113418,2014-09-29,08:24:28,30179,9427.0,2014-09-29,08:24:29,,,2014-09-29 08:33:33,08:38:05
113419,2014-09-29,08:24:33,30560,6943.0,2014-09-29,08:24:34,,,,08:28:57
113420,2014-09-29,08:24:39,30179,7923.0,2014-09-29,08:24:40,,,,08:26:46
113421,2014-09-29,08:24:54,30560,6947.0,2014-09-29,08:24:55,,,,08:29:27
113422,2014-09-29,08:25:07,30560,9423.0,2014-09-29,08:25:08,,,,08:28:14
113423,2014-09-29,08:25:51,30560,6933.0,2014-09-29,08:25:52,,,,08:29:20
113424,2014-09-29,08:26:05,30560,6940.0,2014-09-29,08:26:06,,,,08:27:58
113425,2014-09-29,08:26:40,30175,1407.0,2014-09-29,08:26:41,,,,08:36:45
113426,2014-09-29,08:26:59,30172,6989.0,2014-09-29,08:27:00,,,,08:28:30
113427,2014-09-29,08:27:19,30175,9821.0,2014-09-29,08:27:20,,,,08:31:16
113428,2014-09-29,08:27:38,30175,1107.0,2014-09-29,08:27:39,2014-09-29,08:28:18,2014-09-29 08:28:43,08:31:16
113429,2014-09-29,08:27:41,30175,9110.0,2014-09-29,08:27:42,,,,08:28:52
113430,2014-09-29,08:28:01,30560,8076.0,2014-09-29,08:28:02,,,,08:30:33
113431,2014-09-29,08:28:20,30560,8720.0,2014-09-29,08:28:21,,,,08:31:16
113432,2014-09-29,08:28:54,30179,1102.0,2014-09-29,08:28:55,,,,08:38:09
113433,2014-09-29,08:29:10,30560,6930.0,2014-09-29,08:29:11,,,,08:38:27
113434,2014-09-29,08:29:55,30175,1241.0,2014-09-29,08:29:56,,,,08:30:30
113435,2014-09-29,08:29:58,30179,9687.0,2014-09-29,08:29:59,,,,08:38:23
113436,2014-09-29,08:30:00,30175,1049.0,2014-09-29,08:30:01,,,,08:33:15
113437,2014-09-29,08:30:08,30560,8189.0,2014-09-29,08:30:09,,,,08:32:56
113438,2014-09-29,08:30:09,30066,6922.0,2014-09-29,08:30:10,,,,08:34:27
113439,2014-09-29,08:30:16,30175,1398.0,2014-09-29,08:30:17,,,,08:34:23
113440,2014-09-29,08:30:19,30172,9109.0,2014-09-29,08:30:20,,,,08:32:08
113441,2014-09-29,08:30:20,30560,7923.0,2014-09-29,08:30:21,,,,08:35:12
113442,2014-09-29,08:30:21,30560,1039.0,2014-09-29,08:30:22,,,,08:30:35
113443,2014-09-29,08:30:26,30175,1245.0,2014-09-29,08:30:27,2014-09-29,08:31:01,2014-09-29 08:31:21,08:34:05
113444,2014-09-29,08:30:46,30175,6940.0,2014-09-29,08:30:47,,,,08:31:11
113445,2014-09-29,08:31:03,30560,9423.0,2014-09-29,08:31:04,,,,08:34:05
113446,2014-09-29,08:31:05,30066,6989.0,2014-09-29,08:31:06,,,,08:33:29
113447,2014-09-29,08:31:15,30172,1041.0,2014-09-29,08:31:16,,,,08:40:37
113448,2014-09-29,08:31:20,30175,1107.0,2014-09-29,08:31:21,,,,08:32:11
113449,2014-09-29,08:31:39,30560,8373.0,2014-09-29,08:31:40,,,,08:35:29
113450,2014-09-29,08:31:41,30175,9110.0,2014-09-29,08:31:42,,,,08:33:13
