,date_received_date,date_received_heure,queue_name,agent_number,answered_date,answered_heure,consult_date,consult_heure,transfer,hangup_heure
58305,2014-01-17,08:02:10,30175,6936.0,2014-01-17,08:02:11,,,,08:04:03
58306,2014-01-17,08:02:11,30560,6947.0,2014-01-17,08:02:12,,,,08:04:54
58307,2014-01-17,08:02:32,30175,6935.0,2014-01-17,08:02:32,,,,08:09:41
58308,2014-01-17,08:03:24,30560,6949.0,2014-01-17,08:03:25,,,,08:08:52
58309,2014-01-17,08:05:42,30175,6940.0,2014-01-17,08:05:43,,,,08:08:03
58310,2014-01-17,08:05:58,30175,9424.0,2014-01-17,08:05:59,,,,08:14:13
58311,2014-01-17,08:09:35,30560,7479.0,2014-01-17,08:09:36,,,,08:13:13
58312,2014-01-17,08:09:50,30175,8483.0,2014-01-17,08:09:51,,,,08:11:47
58313,2014-01-17,08:10:38,30175,8594.0,2014-01-17,08:10:39,,,,08:14:50
58314,2014-01-17,08:10:42,30175,8076.0,2014-01-17,08:10:43,,,,08:13:36
58315,2014-01-17,08:11:25,30560,8077.0,2014-01-17,08:11:26,,,,08:14:30
58316,2014-01-17,08:12:18,30560,7823.0,2014-01-17,08:12:19,,,,08:17:49
58317,2014-01-17,08:12:43,30560,8723.0,2014-01-17,08:12:44,,,,08:14:54
58318,2014-01-17,08:13:53,30560,7531.0,2014-01-17,08:13:54,,,,08:18:02
58319,2014-01-17,08:14:47,30560,6947.0,2014-01-17,08:14:48,,,,08:18:13
58320,2014-01-17,08:14:48,30175,9423.0,2014-01-17,08:14:49,,,,08:25:41
58321,2014-01-17,08:15:26,30560,6940.0,2014-01-17,08:15:27,,,,08:21:24
58322,2014-01-17,08:16:01,30179,9425.0,2014-01-17,08:16:02,,,,08:20:30
58323,2014-01-17,08:17:07,30560,6949.0,2014-01-17,08:17:08,,,,08:22:52
58324,2014-01-17,08:17:25,30172,6935.0,2014-01-17,08:17:26,,,,08:21:58
58325,2014-01-17,08:17:52,30560,8483.0,2014-01-17,08:17:53,,,,08:18:54
58326,2014-01-17,08:18:29,30560,7479.0,2014-01-17,08:18:30,2014-01-17,08:20:00,2014-01-17 08:20:42,08:23:36
58327,2014-01-17,08:19:38,30511,8076.0,2014-01-17,08:19:39,,,,08:22:40
58328,2014-01-17,08:20:13,30560,8077.0,2014-01-17,08:20:14,,,,08:24:33
58329,2014-01-17,08:20:23,30560,8594.0,2014-01-17,08:20:24,2014-01-17,08:24:47,2014-01-17 08:26:26,08:30:02
58330,2014-01-17,08:20:38,30560,7823.0,2014-01-17,08:20:39,,,,08:22:05
58331,2014-01-17,08:21:09,30560,7531.0,2014-01-17,08:21:10,2014-01-17,08:22:46,2014-01-17 08:23:42,08:25:24
58332,2014-01-17,08:21:32,30172,6947.0,2014-01-17,08:21:33,,,,08:25:18
58333,2014-01-17,08:22:47,30560,8483.0,2014-01-17,08:22:48,,,,08:25:04
58334,2014-01-17,08:22:59,30172,7479.0,2014-01-17,08:23:00,,,,08:25:09
58335,2014-01-17,08:25:00,30560,6940.0,2014-01-17,08:25:01,2014-01-17,08:27:36,2014-01-17 08:28:30,08:31:37
58336,2014-01-17,08:26:15,30175,9424.0,2014-01-17,08:26:16,,,,08:31:14
58337,2014-01-17,08:26:17,30560,6935.0,2014-01-17,08:26:17,,,,08:28:51
58338,2014-01-17,08:26:53,30560,7823.0,2014-01-17,08:26:54,,,,08:27:11
58339,2014-01-17,08:29:01,30560,8076.0,2014-01-17,08:29:02,,,,08:33:44
58340,2014-01-17,08:29:17,30175,9425.0,2014-01-17,08:29:18,,,,08:31:04
58341,2014-01-17,08:29:25,30560,6949.0,2014-01-17,08:29:26,,,,08:33:12
58342,2014-01-17,08:29:28,30179,6936.0,2014-01-17,08:29:29,2014-01-17,08:30:01,2014-01-17 08:30:20,08:33:06
58343,2014-01-17,08:30:03,30560,7531.0,2014-01-17,08:30:04,,,,08:33:06
58344,2014-01-17,08:30:04,30175,8077.0,2014-01-17,08:30:05,,,,08:32:27
