,date_received_date,date_received_heure,queue_name,agent_number,answered_date,answered_heure,consult_date,consult_heure,transfer,hangup_heure
109496,2014-05-24,09:03:04,30175,6975.0,2014-05-24,09:03:05,,,,09:03:34
109497,2014-05-24,09:03:43,30175,6949.0,2014-05-24,09:03:43,,,,09:14:40
109498,2014-05-24,09:06:29,30560,6971.0,2014-05-24,09:06:30,,,,09:09:04
109499,2014-05-24,09:08:19,30172,9117.0,2014-05-24,09:08:20,,,,09:08:41
109500,2014-05-24,09:09:31,30172,9425.0,2014-05-24,09:09:32,2014-05-24,09:18:40,2014-05-24 09:18:56,09:21:27
109501,2014-05-24,09:09:55,30175,6975.0,2014-05-24,09:09:56,2014-05-24,09:10:42,,09:11:26
109502,2014-05-24,09:10:40,30560,9117.0,2014-05-24,09:10:41,,,,09:11:04
109503,2014-05-24,09:11:59,30560,6971.0,2014-05-24,09:12:00,,,,09:15:27
109504,2014-05-24,09:13:59,30172,9117.0,2014-05-24,09:14:00,,,,09:14:21
109505,2014-05-24,09:14:33,30172,6975.0,2014-05-24,09:14:34,,,,09:18:18
109506,2014-05-24,09:17:04,30560,6949.0,2014-05-24,09:17:05,,,,09:25:38
109507,2014-05-24,09:24:21,30175,6971.0,2014-05-24,09:24:22,,,,09:28:00
109508,2014-05-24,09:24:49,30560,6975.0,2014-05-24,09:24:50,,,,09:26:36
109509,2014-05-24,09:27:54,30172,9425.0,2014-05-24,09:27:55,,,,09:37:23
109510,2014-05-24,09:31:00,30560,9117.0,2014-05-24,09:31:01,,,,09:38:33
109511,2014-05-24,09:34:20,30179,6949.0,2014-05-24,09:34:21,,,,09:38:20
109512,2014-05-24,09:34:57,30175,6975.0,2014-05-24,09:34:58,,,,09:35:09
109513,2014-05-24,09:41:14,30172,6971.0,2014-05-24,09:41:15,2014-05-24,09:42:09,2014-05-24 09:42:18,09:45:40
109514,2014-05-24,09:41:28,30175,6975.0,2014-05-24,09:41:29,,,,09:45:50
109515,2014-05-24,09:48:23,30175,9425.0,2014-05-24,09:48:24,,,,09:52:40
109516,2014-05-24,09:58:21,30560,6949.0,2014-05-24,09:58:22,,,,10:03:04
109517,2014-05-24,09:58:57,30560,9117.0,2014-05-24,09:58:58,,,,10:03:31
109518,2014-05-24,09:59:03,30175,6971.0,2014-05-24,09:59:03,,,,10:02:27
109519,2014-05-24,10:01:29,30560,6975.0,2014-05-24,10:01:30,,,,10:05:04
109520,2014-05-24,10:01:55,30066,6917.0,2014-05-24,10:01:56,,,,10:06:18
109521,2014-05-24,10:03:07,30560,9425.0,2014-05-24,10:03:08,,,,10:06:01
109522,2014-05-24,10:06:47,30172,6971.0,2014-05-24,10:06:48,,,,10:12:38
109523,2014-05-24,10:07:03,30560,6975.0,2014-05-24,10:07:04,,,,10:10:21
