,date_received_date,date_received_heure,queue_name,agent_number,answered_date,answered_heure,consult_date,consult_heure,transfer,hangup_heure
43753,2014-10-13,08:01:25,30560,6989.0,2014-10-13,08:01:26,,,,08:04:40
43754,2014-10-13,08:01:32,30560,6947.0,2014-10-13,08:01:33,2014-10-13,08:05:59,,08:08:19
43755,2014-10-13,08:01:34,30175,6933.0,2014-10-13,08:01:35,,,,08:04:04
43756,2014-10-13,08:03:00,30175,8720.0,2014-10-13,08:03:01,,,,08:03:48
43757,2014-10-13,08:03:02,30175,9505.0,2014-10-13,08:03:03,,,,08:05:09
43758,2014-10-13,08:03:54,30175,1405.0,2014-10-13,08:03:55,,,,08:08:02
43759,2014-10-13,08:04:03,30560,8076.0,2014-10-13,08:04:04,,,,08:10:20
43760,2014-10-13,08:04:42,30175,1241.0,2014-10-13,08:04:43,,,,08:11:27
43761,2014-10-13,08:05:24,30172,1049.0,2014-10-13,08:05:25,,,,08:06:57
43762,2014-10-13,08:05:57,30175,1039.0,2014-10-13,08:05:58,,,,08:07:12
43763,2014-10-13,08:05:59,30172,7923.0,2014-10-13,08:06:00,,,,08:08:32
43764,2014-10-13,08:06:10,30172,9110.0,2014-10-13,08:06:11,,,,08:07:03
43765,2014-10-13,08:06:31,30172,9113.0,2014-10-13,08:06:32,,,,08:14:29
43766,2014-10-13,08:07:00,30560,6930.0,2014-10-13,08:07:01,,,,08:13:00
43767,2014-10-13,08:07:33,30066,1107.0,2014-10-13,08:07:34,2014-10-13,08:11:12,2014-10-13 08:11:43,08:15:02
43768,2014-10-13,08:07:53,30172,6943.0,2014-10-13,08:07:54,,,,08:11:52
43769,2014-10-13,08:08:33,30172,1041.0,2014-10-13,08:08:33,,,,08:15:50
43770,2014-10-13,08:08:45,30179,1407.0,2014-10-13,08:08:46,2014-10-13,08:09:49,2014-10-13 08:10:07,08:13:51
43771,2014-10-13,08:08:52,30172,9427.0,2014-10-13,08:08:53,,,,08:13:51
43772,2014-10-13,08:08:58,30172,9820.0,2014-10-13,08:08:59,,,,08:11:51
43773,2014-10-13,08:09:18,30560,1102.0,2014-10-13,08:09:19,,,,08:15:29
43774,2014-10-13,08:09:33,30560,8189.0,2014-10-13,08:09:34,,,,08:11:58
43775,2014-10-13,08:09:50,30172,6944.0,2014-10-13,08:09:51,,,,08:13:51
43776,2014-10-13,08:10:01,30175,1398.0,2014-10-13,08:10:02,,,,08:15:04
43777,2014-10-13,08:10:33,30066,8720.0,2014-10-13,08:10:34,,,,08:13:40
43778,2014-10-13,08:11:01,30175,8373.0,2014-10-13,08:11:02,,,,08:13:04
43779,2014-10-13,08:11:03,30172,6933.0,2014-10-13,08:11:04,,,,08:23:28
43780,2014-10-13,08:11:03,30179,6989.0,2014-10-13,08:11:04,,,,08:13:22
43781,2014-10-13,08:11:13,30172,1049.0,2014-10-13,08:11:14,,,,08:15:02
43782,2014-10-13,08:11:16,30172,9110.0,2014-10-13,08:11:17,,,,08:12:57
43783,2014-10-13,08:11:28,30560,9505.0,2014-10-13,08:11:29,,,,08:12:24
43784,2014-10-13,08:11:45,30175,1039.0,2014-10-13,08:11:46,,,,08:12:25
43785,2014-10-13,08:12:54,30175,1405.0,2014-10-13,08:12:55,,,,08:16:00
43786,2014-10-13,08:13:22,30560,7923.0,2014-10-13,08:13:23,,,,08:23:26
43787,2014-10-13,08:15:27,30175,6947.0,2014-10-13,08:15:28,,,,08:16:31
43788,2014-10-13,08:15:35,30175,1407.0,2014-10-13,08:15:36,,,,08:20:50
43789,2014-10-13,08:15:43,30175,8076.0,2014-10-13,08:15:44,,,,08:19:09
43790,2014-10-13,08:15:45,30175,1241.0,2014-10-13,08:15:46,,,,08:18:58
43791,2014-10-13,08:15:59,30175,1107.0,2014-10-13,08:16:00,,,,08:20:21
43792,2014-10-13,08:16:22,30560,9820.0,2014-10-13,08:16:23,,,,08:22:13
43793,2014-10-13,08:17:02,30560,6943.0,2014-10-13,08:17:03,,,,08:22:00
43794,2014-10-13,08:17:14,30175,8189.0,2014-10-13,08:17:15,,,,08:21:22
43795,2014-10-13,08:17:53,30175,9505.0,2014-10-13,08:17:54,,,,08:23:24
43796,2014-10-13,08:19:50,30172,1039.0,2014-10-13,08:19:51,,,,08:25:54
43797,2014-10-13,08:20:14,30172,9110.0,2014-10-13,08:20:15,,,,08:23:30
43798,2014-10-13,08:20:22,30175,6930.0,2014-10-13,08:20:23,2014-10-13,08:22:34,,08:23:06
43799,2014-10-13,08:21:17,30172,8373.0,2014-10-13,08:21:18,,,,08:25:56
43800,2014-10-13,08:21:25,30175,6989.0,2014-10-13,08:21:26,,,,08:23:48
43801,2014-10-13,08:21:56,30560,8720.0,2014-10-13,08:21:57,,,,08:23:30
43802,2014-10-13,08:22:04,30172,9427.0,2014-10-13,08:22:05,,,,08:24:26
43803,2014-10-13,08:23:36,30560,6944.0,2014-10-13,08:23:37,,,,08:28:05
43804,2014-10-13,08:24:10,30172,1049.0,2014-10-13,08:24:11,2014-10-13,08:27:39,,08:34:24
43805,2014-10-13,08:24:19,30560,1102.0,2014-10-13,08:24:20,,,,08:29:05
43806,2014-10-13,08:24:26,30172,1041.0,2014-10-13,08:24:27,,,,08:31:56
43807,2014-10-13,08:25:03,30175,1398.0,2014-10-13,08:25:04,,,,08:27:57
43808,2014-10-13,08:25:06,30066,6947.0,2014-10-13,08:25:07,,,,08:31:10
43809,2014-10-13,08:25:21,30175,1405.0,2014-10-13,08:25:22,,,,08:28:45
43810,2014-10-13,08:25:59,30175,9113.0,2014-10-13,08:26:00,,,,08:26:11
43811,2014-10-13,08:26:18,30175,1241.0,2014-10-13,08:26:19,,,,08:27:53
43812,2014-10-13,08:27:29,30172,8076.0,2014-10-13,08:27:30,,,,08:35:50
43813,2014-10-13,08:27:56,30175,1107.0,2014-10-13,08:27:57,,,,08:29:15
43814,2014-10-13,08:28:08,30172,8189.0,2014-10-13,08:28:09,,,,08:30:23
43815,2014-10-13,08:28:12,30560,6943.0,2014-10-13,08:28:13,,,,08:34:08
43816,2014-10-13,08:28:22,30175,1407.0,2014-10-13,08:28:23,,,,08:31:35
43817,2014-10-13,08:28:28,30560,9820.0,2014-10-13,08:28:29,,,,08:29:58
43818,2014-10-13,08:28:50,30172,6930.0,2014-10-13,08:28:51,,,,08:33:12
43819,2014-10-13,08:32:01,30066,9505.0,2014-10-13,08:32:02,2014-10-13,08:32:30,2014-10-13 08:32:59,08:36:33
43820,2014-10-13,08:32:14,30175,7923.0,2014-10-13,08:32:15,2014-10-13,08:39:26,2014-10-13 08:41:04,08:45:41
43821,2014-10-13,08:32:31,30172,6933.0,2014-10-13,08:32:32,,,2014-10-13 08:33:30,08:36:33
43822,2014-10-13,08:33:24,30175,9110.0,2014-10-13,08:33:25,,,,08:43:54
43823,2014-10-13,08:33:37,30175,8720.0,2014-10-13,08:33:38,,,,08:35:00
43824,2014-10-13,08:33:53,30172,6989.0,2014-10-13,08:33:54,,,,08:42:30
43825,2014-10-13,08:33:54,30066,9427.0,2014-10-13,08:33:55,,,,08:56:31
43826,2014-10-13,08:34:17,30175,1039.0,2014-10-13,08:34:18,2014-10-13,08:36:54,,08:37:53
