,date_received_date,date_received_heure,queue_name,agent_number,answered_date,answered_heure,consult_date,consult_heure,transfer,hangup_heure
110432,2014-12-31,08:03:12,30172,6922.0,2014-12-31,08:03:13,,,,08:05:30
110433,2014-12-31,08:04:09,30175,1610.0,2014-12-31,08:04:10,,,,08:09:23
110434,2014-12-31,08:04:17,30175,1618.0,2014-12-31,08:04:18,,,,08:09:55
110435,2014-12-31,08:04:28,30747,1569.0,2014-12-31,08:04:29,2014-12-31,08:05:22,2014-12-31 08:05:33,08:06:41
110436,2014-12-31,08:05:42,30560,1641.0,2014-12-31,08:05:42,,,,08:10:07
110437,2014-12-31,08:07:19,30175,6925.0,2014-12-31,08:07:20,,,,08:08:27
110438,2014-12-31,08:08:07,30175,1045.0,2014-12-31,08:08:08,,,,08:15:15
110439,2014-12-31,08:08:14,30175,6922.0,2014-12-31,08:08:15,,,,08:10:18
110440,2014-12-31,08:09:06,30175,1569.0,2014-12-31,08:09:07,2014-12-31,08:15:33,,08:16:34
110441,2014-12-31,08:09:27,30172,6925.0,2014-12-31,08:09:28,,,,08:11:12
110442,2014-12-31,08:09:47,30175,1610.0,2014-12-31,08:09:48,,,,08:10:15
110443,2014-12-31,08:09:56,30175,1618.0,2014-12-31,08:09:57,2014-12-31,08:10:46,2014-12-31 08:11:13,08:12:07
110444,2014-12-31,08:10:38,30560,1647.0,2014-12-31,08:10:39,,,,08:11:31
110445,2014-12-31,08:10:48,30560,1640.0,2014-12-31,08:10:48,,,,08:12:07
110446,2014-12-31,08:10:50,30560,1639.0,2014-12-31,08:10:51,,,,08:17:27
110447,2014-12-31,08:11:00,30175,1610.0,2014-12-31,08:11:01,2014-12-31,08:15:16,2014-12-31 08:16:38,08:22:38
110448,2014-12-31,08:11:25,30764,6922.0,2014-12-31,08:11:26,,,,08:13:12
110449,2014-12-31,08:11:27,30175,6925.0,2014-12-31,08:11:28,,,,08:14:57
110450,2014-12-31,08:11:47,30172,6922.0,2014-12-31,08:13:13,,,,08:15:06
110451,2014-12-31,08:11:50,30175,1618.0,2014-12-31,08:11:51,,,,08:15:54
110452,2014-12-31,08:12:14,30560,1646.0,2014-12-31,08:12:15,,,,08:26:18
110453,2014-12-31,08:12:29,30172,6925.0,2014-12-31,08:14:58,,,,08:17:33
110454,2014-12-31,08:12:30,30175,,,,,,,08:14:50
110455,2014-12-31,08:13:26,30175,6922.0,2014-12-31,08:15:06,,,,08:16:12
110456,2014-12-31,08:15:18,30175,1045.0,2014-12-31,08:15:19,,,,08:19:42
110457,2014-12-31,08:15:18,30172,6922.0,2014-12-31,08:16:13,,,,08:22:38
110458,2014-12-31,08:15:19,30172,6925.0,2014-12-31,08:17:33,,,,08:20:50
110459,2014-12-31,08:15:34,30172,,,,,,,08:16:11
110460,2014-12-31,08:16:13,30175,1618.0,2014-12-31,08:16:14,2014-12-31,08:18:30,2014-12-31 08:19:02,08:19:51
110461,2014-12-31,08:17:17,30175,1569.0,2014-12-31,08:17:18,2014-12-31,08:22:25,,08:23:04
110462,2014-12-31,08:18:05,30172,1045.0,2014-12-31,08:19:43,,,,08:25:26
110463,2014-12-31,08:18:19,30172,6925.0,2014-12-31,08:20:55,,,,08:26:59
110464,2014-12-31,08:19:34,30175,1610.0,2014-12-31,08:19:35,,,,08:23:25
110465,2014-12-31,08:20:27,30764,1618.0,2014-12-31,08:20:28,,,,08:22:47
110466,2014-12-31,08:21:22,30560,1641.0,2014-12-31,08:21:22,,,,08:26:34
110467,2014-12-31,08:21:36,30172,6922.0,2014-12-31,08:22:39,,,,08:25:49
110468,2014-12-31,08:22:14,30172,1045.0,2014-12-31,08:25:28,,,,08:27:10
110469,2014-12-31,08:22:34,30175,1618.0,,,,,,08:22:49
110470,2014-12-31,08:23:56,30560,1647.0,2014-12-31,08:23:57,,,,08:28:24
110471,2014-12-31,08:24:26,30175,1618.0,2014-12-31,08:24:27,2014-12-31,08:25:45,2014-12-31 08:26:05,08:28:15
110472,2014-12-31,08:25:47,30560,1640.0,2014-12-31,08:25:48,,,,08:28:15
110473,2014-12-31,08:26:47,30560,1645.0,2014-12-31,08:26:48,,,,08:30:07
110474,2014-12-31,08:27:11,30560,1639.0,2014-12-31,08:27:12,,,,08:31:39
110475,2014-12-31,08:28:15,30175,1569.0,2014-12-31,08:28:16,,,,08:31:39
110476,2014-12-31,08:28:34,30175,1610.0,2014-12-31,08:28:35,2014-12-31,08:29:17,2014-12-31 08:29:52,08:35:06
110477,2014-12-31,08:28:47,30175,6922.0,2014-12-31,08:28:48,,,,08:29:42
110478,2014-12-31,08:28:53,30175,1618.0,2014-12-31,08:28:54,2014-12-31,08:31:10,2014-12-31 08:32:36,08:43:43
110479,2014-12-31,08:29:19,30560,1646.0,2014-12-31,08:29:20,,,,08:35:06
