,date_received_date,date_received_heure,queue_name,agent_number,answered_date,answered_heure,consult_date,consult_heure,transfer,hangup_heure
92909,2014-10-24,08:03:21,30175,6947.0,2014-10-24,08:03:22,,,,08:09:05
92910,2014-10-24,08:03:25,30179,9573.0,2014-10-24,08:03:26,,,,08:05:23
92911,2014-10-24,08:03:35,30175,8076.0,2014-10-24,08:03:36,,,,08:08:28
92912,2014-10-24,08:03:50,30175,1041.0,2014-10-24,08:03:51,2014-10-24,08:05:42,2014-10-24 08:07:13,08:11:39
92913,2014-10-24,08:04:03,30175,9423.0,2014-10-24,08:04:04,,,,08:05:31
92914,2014-10-24,08:05:16,30172,6932.0,2014-10-24,08:05:17,,,,08:06:35
92915,2014-10-24,08:05:48,30175,9113.0,2014-10-24,08:05:49,,,,08:10:08
92916,2014-10-24,08:06:37,30175,6930.0,2014-10-24,08:06:38,2014-10-24,08:08:06,2014-10-24 08:08:43,08:11:54
92917,2014-10-24,08:07:29,30560,1043.0,2014-10-24,08:07:30,,,,08:12:06
92918,2014-10-24,08:07:53,30175,8189.0,2014-10-24,08:07:54,,,,08:14:03
92919,2014-10-24,08:08:57,30560,7923.0,2014-10-24,08:08:58,,,,08:10:11
92920,2014-10-24,08:10:32,30560,1102.0,2014-10-24,08:10:33,,,,08:16:56
92921,2014-10-24,08:11:01,30560,9573.0,2014-10-24,08:11:02,,,,08:13:03
92922,2014-10-24,08:11:25,30560,9423.0,2014-10-24,08:11:26,,,,08:16:06
92923,2014-10-24,08:11:29,30175,1405.0,2014-10-24,08:11:29,,,,08:13:55
92924,2014-10-24,08:11:42,30175,1041.0,2014-10-24,08:11:43,,,,08:20:31
92925,2014-10-24,08:12:46,30179,8373.0,2014-10-24,08:12:47,,,,08:12:50
92926,2014-10-24,08:15:39,30175,8076.0,2014-10-24,08:15:40,,,,08:17:47
92927,2014-10-24,08:16:06,30172,6932.0,2014-10-24,08:16:07,,,,08:19:22
92928,2014-10-24,08:16:11,30560,6930.0,2014-10-24,08:16:12,,,,08:19:27
92929,2014-10-24,08:17:29,30175,6947.0,2014-10-24,08:17:30,,,,08:20:56
92930,2014-10-24,08:19:19,30172,7923.0,2014-10-24,08:19:20,,,,08:26:53
92931,2014-10-24,08:20:23,30175,1043.0,2014-10-24,08:20:24,,,,08:26:04
92932,2014-10-24,08:20:56,30175,9113.0,2014-10-24,08:20:57,,,,08:22:35
92933,2014-10-24,08:22:27,30560,8373.0,2014-10-24,08:22:28,,,,08:24:40
92934,2014-10-24,08:24:40,30179,9573.0,2014-10-24,08:24:41,,,,08:30:18
92935,2014-10-24,08:24:57,30560,8189.0,2014-10-24,08:24:58,2014-10-24,08:26:31,2014-10-24 08:27:00,08:27:49
92936,2014-10-24,08:25:31,30175,1405.0,2014-10-24,08:25:32,,,,08:27:18
92937,2014-10-24,08:25:57,30560,9423.0,2014-10-24,08:25:58,,,,08:30:12
92938,2014-10-24,08:26:41,30175,1102.0,2014-10-24,08:26:42,,,,08:28:26
92939,2014-10-24,08:29:01,30175,8076.0,2014-10-24,08:29:02,,,,08:31:43
92940,2014-10-24,08:29:37,30560,6932.0,2014-10-24,08:29:38,,,,08:34:46
92941,2014-10-24,08:31:07,30560,6930.0,2014-10-24,08:31:08,,,,08:35:08
92942,2014-10-24,08:31:11,30172,6947.0,2014-10-24,08:31:12,,,,08:34:18
92943,2014-10-24,08:31:59,30175,1041.0,2014-10-24,08:32:00,,,,08:35:46
92944,2014-10-24,08:31:59,30175,9113.0,2014-10-24,08:32:00,,,,08:32:50
92945,2014-10-24,08:32:37,30560,8373.0,2014-10-24,08:32:38,,,,08:34:24
92946,2014-10-24,08:33:03,30175,1043.0,2014-10-24,08:33:04,,,,08:39:59
92947,2014-10-24,08:33:15,30175,8189.0,2014-10-24,08:33:16,,,,08:35:57
92948,2014-10-24,08:34:26,30560,1102.0,2014-10-24,08:34:27,,,,08:36:45
92949,2014-10-24,08:34:30,30175,1405.0,2014-10-24,08:34:31,,,,08:38:10
92950,2014-10-24,08:34:39,30179,1309.0,2014-10-24,08:34:40,,,,08:36:52
92951,2014-10-24,08:34:50,30175,9573.0,2014-10-24,08:34:51,,,,08:36:47
92952,2014-10-24,08:35:46,30175,1242.0,2014-10-24,08:35:47,,,,08:36:49
92953,2014-10-24,08:36:36,30175,8076.0,2014-10-24,08:36:37,2014-10-24,08:39:05,2014-10-24 08:39:58,08:42:42
92954,2014-10-24,08:36:59,30172,9423.0,2014-10-24,08:37:00,,,,08:38:30
92955,2014-10-24,08:37:01,30175,9113.0,2014-10-24,08:37:02,,,,08:46:42
92956,2014-10-24,08:37:07,30175,7923.0,2014-10-24,08:37:08,2014-10-24,08:39:20,,08:40:14
92957,2014-10-24,08:37:16,30172,9575.0,2014-10-24,08:37:17,,,,08:44:16
92958,2014-10-24,08:38:19,30560,6947.0,2014-10-24,08:38:19,,,,08:41:14
92959,2014-10-24,08:38:21,30175,1247.0,2014-10-24,08:38:22,,,,08:47:11
92960,2014-10-24,08:39:16,30175,8373.0,2014-10-24,08:39:17,,,,08:41:23
92961,2014-10-24,08:39:22,30175,1402.0,2014-10-24,08:39:23,,,,08:41:42
