,date_received_date,date_received_heure,queue_name,agent_number,answered_date,answered_heure,consult_date,consult_heure,transfer,hangup_heure
0,2014-02-01,09:00:37,30560,6975.0,2014-02-01,09:00:38,,,,09:05:52
1,2014-02-01,09:04:18,30175,6985.0,2014-02-01,09:04:19,,,,09:07:00
2,2014-02-01,09:08:43,30175,7531.0,2014-02-01,09:08:44,,,,09:09:05
3,2014-02-01,09:08:54,30560,9109.0,2014-02-01,09:08:55,,,,09:13:31
4,2014-02-01,09:09:08,30175,6985.0,2014-02-01,09:09:09,,,,09:12:55
5,2014-02-01,09:11:58,30175,7531.0,2014-02-01,09:11:59,,,,09:17:25
6,2014-02-01,09:12:03,30172,6975.0,2014-02-01,09:12:04,2014-02-01,09:12:47,2014-02-01 09:13:12,09:15:25
7,2014-02-01,09:13:42,30172,6985.0,2014-02-01,09:13:43,,,,09:14:36
8,2014-02-01,09:14:23,30560,6975.0,2014-02-01,09:14:23,,,,09:17:44
9,2014-02-01,09:17:54,30175,9109.0,2014-02-01,09:17:55,,,,09:19:25
10,2014-02-01,09:21:58,30560,6985.0,2014-02-01,09:21:59,,,,09:24:30
11,2014-02-01,09:22:20,30172,7531.0,2014-02-01,09:22:21,,,,09:25:55
12,2014-02-01,09:28:15,30175,6975.0,2014-02-01,09:28:16,,,,09:32:02
13,2014-02-01,09:34:10,30560,9109.0,2014-02-01,09:34:10,,,,09:37:36
14,2014-02-01,09:39:30,30560,6985.0,2014-02-01,09:39:31,,,,09:40:54
15,2014-02-01,09:43:40,30172,7531.0,2014-02-01,09:43:41,,,,09:49:59
16,2014-02-01,09:44:15,30175,6975.0,2014-02-01,09:44:16,,,,09:46:32
17,2014-02-01,09:47:07,30175,9109.0,2014-02-01,09:47:08,,,,09:48:56
18,2014-02-01,09:47:15,30172,6985.0,2014-02-01,09:47:15,2014-02-01,09:48:23,2014-02-01 09:49:17,09:53:28
19,2014-02-01,09:48:50,30560,6975.0,2014-02-01,09:48:51,,,,09:52:40
20,2014-02-01,09:49:10,30560,9109.0,2014-02-01,09:49:11,,,,09:53:20
21,2014-02-01,09:50:01,30560,6985.0,2014-02-01,09:50:02,,,,09:53:31
22,2014-02-01,09:50:52,30175,7531.0,2014-02-01,09:50:53,,,,09:56:04
23,2014-02-01,09:54:20,30560,6975.0,2014-02-01,09:54:21,,,,09:57:22
24,2014-02-01,09:57:39,30175,6985.0,2014-02-01,09:57:40,,,,10:00:59
25,2014-02-01,09:58:01,30172,9109.0,2014-02-01,09:58:02,,,,09:58:31
26,2014-02-01,09:59:28,30172,7531.0,2014-02-01,09:59:29,,,,10:00:33
27,2014-02-01,10:01:06,30172,9109.0,2014-02-01,10:01:07,2014-02-01,10:04:03,,10:07:18
28,2014-02-01,10:01:17,30172,8077.0,2014-02-01,10:01:18,2014-02-01,10:02:29,,10:02:41
29,2014-02-01,10:02:49,30175,6985.0,2014-02-01,10:02:50,,,,10:06:27
30,2014-02-01,10:03:26,30172,7531.0,2014-02-01,10:03:27,2014-02-01,10:07:27,,10:08:55
31,2014-02-01,10:04:14,30172,8077.0,2014-02-01,10:04:15,,,,10:06:32
32,2014-02-01,10:05:44,30175,6985.0,2014-02-01,10:06:31,,,,10:07:39
33,2014-02-01,10:05:51,30172,8077.0,2014-02-01,10:06:38,2014-02-01,10:07:11,,10:07:29
34,2014-02-01,10:06:02,30175,9109.0,2014-02-01,10:07:24,,,,10:10:31
35,2014-02-01,10:06:44,30175,8077.0,,,,,,10:07:30
36,2014-02-01,10:06:51,30560,8077.0,2014-02-01,10:07:31,,,,10:14:44
37,2014-02-01,10:08:24,30172,6985.0,2014-02-01,10:08:25,,,,10:10:33
38,2014-02-01,10:08:31,30179,7531.0,2014-02-01,10:08:56,2014-02-01,10:09:47,,10:13:53
39,2014-02-01,10:08:38,30175,6985.0,2014-02-01,10:10:35,,,,10:11:17
40,2014-02-01,10:14:50,30175,9109.0,2014-02-01,10:14:51,,,,10:17:25
41,2014-02-01,10:17:26,30176,6985.0,2014-02-01,10:17:27,,,,10:18:44
42,2014-02-01,10:22:14,30175,8077.0,2014-02-01,10:22:15,,,,10:26:25
43,2014-02-01,10:24:17,30175,7531.0,2014-02-01,10:24:18,,,,10:28:10
44,2014-02-01,10:27:23,30560,9109.0,2014-02-01,10:27:23,,,,10:33:30
45,2014-02-01,10:27:37,30175,6985.0,2014-02-01,10:27:38,,,,10:28:47
46,2014-02-01,10:31:08,30172,8077.0,2014-02-01,10:31:09,2014-02-01,10:31:35,,10:31:51
47,2014-02-01,10:32:07,30560,7531.0,2014-02-01,10:32:08,,,,10:35:48
48,2014-02-01,10:32:28,30175,6985.0,2014-02-01,10:32:29,,,,10:34:31
49,2014-02-01,10:33:10,30172,8077.0,2014-02-01,10:33:11,2014-02-01,10:33:30,,10:33:46
50,2014-02-01,10:33:14,30175,8077.0,2014-02-01,10:33:51,,,,10:38:10
51,2014-02-01,10:33:43,30175,6985.0,2014-02-01,10:34:33,,,,10:35:22
52,2014-02-01,10:33:56,30172,,,,,,,10:35:06
53,2014-02-01,10:35:28,30172,6985.0,2014-02-01,10:35:29,2014-02-01,10:36:21,,10:39:07
54,2014-02-01,10:36:15,30172,7531.0,2014-02-01,10:36:16,2014-02-01,10:36:54,,10:39:22
55,2014-02-01,10:36:55,30560,8077.0,2014-02-01,10:38:15,,,,10:41:07
56,2014-02-01,10:42:24,30560,6985.0,2014-02-01,10:42:25,,,,10:43:29
57,2014-02-01,10:43:40,30172,7531.0,2014-02-01,10:43:41,,,,10:45:59
58,2014-02-01,10:43:54,30175,8077.0,2014-02-01,10:43:55,,,,10:46:45
59,2014-02-01,10:46:44,30560,6985.0,2014-02-01,10:46:45,,,,10:53:52
60,2014-02-01,10:47:04,30172,7531.0,2014-02-01,10:47:05,,,,10:50:54
61,2014-02-01,10:48:44,30066,8077.0,2014-02-01,10:48:45,2014-02-01,10:49:40,,10:50:52
62,2014-02-01,10:49:40,30175,8077.0,,,,,,10:50:55
63,2014-02-01,10:56:09,30066,8077.0,2014-02-01,10:56:10,2014-02-01,10:56:35,2014-02-01 10:57:09,11:04:34
64,2014-02-01,10:56:34,30175,9109.0,2014-02-01,10:56:35,,,,11:04:34
65,2014-02-01,10:57:01,30560,6985.0,2014-02-01,10:57:02,,,,10:58:08
66,2014-02-01,11:00:44,30560,8077.0,2014-02-01,11:00:45,,,,11:01:33
67,2014-02-01,11:00:52,30560,6985.0,2014-02-01,11:00:53,,,,11:05:35
68,2014-02-01,11:00:55,30172,8866.0,2014-02-01,11:00:56,,,,11:03:30
